,ship_id,ship_time,ship_lat,ship_lon,turtle_id,turtle_time,turtle_lat,turtle_lon
94,[DEL1105],2011-06-07 08:33:36,38.7717,-73.7767,108392,2011-06-06 08:00:00,38.72019754,-73.74959551
95,[DEL1105],2011-06-07 08:33:36,38.7717,-73.7767,108392,2011-06-06 16:00:00,38.723275948,-73.7653802
96,[DEL1105],2011-06-07 05:24:00,38.475,-74.0433,108396,2011-06-07 00:00:00,38.54471917,-73.99205812
97,[DEL1105],2011-06-07 05:24:00,38.475,-74.0433,108396,2011-06-08 00:00:00,38.529193116,-74.10054581
98,[DEL1105],2011-06-07 10:24:00,38.9217,-73.8967,108377,2011-06-07 20:00:00,38.869553276,-73.98171684
99,[DEL1105],2011-06-07 10:24:00,38.9217,-73.8967,108377,2011-06-08 20:00:00,38.900256627,-73.84876141
100,[DEL1105],2011-06-07 10:24:00,38.9217,-73.8967,108377,2011-06-09 08:00:00,38.957472355,-73.79347997
101,[DEL1105],2011-06-07 10:24:00,38.9217,-73.8967,108377,2011-06-09 16:00:00,38.96219541,-73.81095941
102,[DEL1105],2011-06-07 09:33:36,38.8933,-73.7767,108377,2011-06-08 20:00:00,38.900256627,-73.84876141
103,[DEL1105],2011-06-07 09:33:36,38.8933,-73.7767,108377,2011-06-09 08:00:00,38.957472355,-73.79347997
104,[DEL1105],2011-06-07 09:33:36,38.8933,-73.7767,108377,2011-06-09 16:00:00,38.96219541,-73.81095941
105,[DEL1105],2011-06-05 03:44:24,38.1083,-74.415,108380,2011-06-03 20:00:00,38.086168384,-74.50033503
106,[DEL1105],2011-06-05 03:44:24,38.1083,-74.415,108380,2011-06-04 20:00:00,38.128216567,-74.36661695
107,[DEL1105],2011-06-05 03:44:24,38.1083,-74.415,108380,2011-06-05 20:00:00,38.154300319,-74.4555368
108,[DEL1105],2011-06-07 02:06:00,38.265,-74.52,108380,2011-06-08 04:00:00,38.316119134,-74.48396813
109,[DEL1105],2011-06-07 02:06:00,38.265,-74.52,108380,2011-06-08 08:00:00,38.32211427,-74.4833055
110,[DEL1105],2011-06-07 02:06:00,38.265,-74.52,108380,2011-06-08 12:00:00,38.329378712,-74.49831108
111,[S11301],2013-06-18 08:21:35,38.2167,-74.2567,117169,2013-06-17 16:00:00,38.288282005,-74.31424726
112,[HB1303],2013-08-12 02:02:23,39.415,-73.8367,117170,2013-08-13 00:00:00,39.35282066,-73.75529858
